report_month,observation_month,appendix_url,pdf_url,pdf_source,page_price,page_production,status,notes
2026-08-01,2026-07-01,https://www.opec.org/assets/assetdb/momr-appendix-august-2026.xlsx,https://www.opec.org/assets/assetdb/momr-august-2026.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2026-07-01,2026-06-01,https://www.opec.org/assets/assetdb/momr-appendix-july-2026.xlsx,https://www.opec.org/assets/assetdb/momr-july-2026.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2026-06-01,2026-05-01,https://www.opec.org/assets/assetdb/momr-appendix-june-2026.xlsx,https://www.opec.org/assets/assetdb/momr-june-2026.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2026-05-01,2026-04-01,https://www.opec.org/assets/assetdb/momr-appendix-may-2026.xlsx,https://www.opec.org/assets/assetdb/momr-may-2026.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2026-04-01,2026-03-01,https://www.opec.org/assets/assetdb/momr-appendix-april-2026.xlsx,https://www.opec.org/assets/assetdb/momr-april-2026.pdf,official,12,61,active,Official PDF and appendix
2026-03-01,2026-02-01,https://www.opec.org/assets/assetdb/momr-appendix-march-2026.xlsx,https://www.opec.org/assets/assetdb/momr-march-2026.pdf,official,12,63,active,Official PDF and appendix
2026-02-01,2026-01-01,https://www.opec.org/assets/assetdb/momr-appendix-february-2026.xlsx,https://www.opec.org/assets/assetdb/momr-february-2026.pdf,official,12,63,active,Official PDF and appendix
2026-01-01,2025-12-01,https://www.opec.org/assets/assetdb/momr-appendix-january-2026.xlsx,https://www.opec.org/assets/assetdb/momr-january-2026.pdf,official,12,61,active,Official PDF and appendix
2025-12-01,2025-11-01,https://www.opec.org/assets/assetdb/momr-appendix-dec-2025.xlsx,https://www.opec.org/assets/assetdb/momr-december-2025.pdf,official,12,61,active,Official PDF and appendix
2025-11-01,2025-10-01,https://www.opec.org/assets/assetdb/momr-appendix-nov-2025.xlsx,https://www.opec.org/assets/assetdb/momr-november-2025.pdf,official,12,61,active,Official PDF and appendix
2025-10-01,2025-09-01,https://www.opec.org/assets/assetdb/momr-appendix-oct-2025.xlsx,NA,missing,12,61,inactive,Official PDF URL blocked; needs alternate PDF source before activation
2025-09-01,2025-08-01,https://www.opec.org/assets/assetdb/momr-appendix-september-2025.xlsx,https://www.opec.org/assets/assetdb/momr-september-2025.pdf,official,12,61,active,Official PDF and appendix
2025-08-01,2025-07-01,https://www.opec.org/assets/assetdb/momr-appendix-august-2025.xlsx,https://www.opec.org/assets/assetdb/momr-august-2025.pdf,official,12,61,active,Official PDF and appendix
2025-07-01,2025-06-01,https://www.opec.org/assets/assetdb/momr-appendix-july-2025.xlsx,https://www.opec.org/assets/assetdb/momr-july-2025.pdf,official,12,61,active,Official PDF and appendix
2025-06-01,2025-05-01,https://www.opec.org/assets/assetdb/momr-appendix-june-2025.xlsx,https://www.opec.org/assets/assetdb/momr-june-2025.pdf,official,12,61,active,Official PDF and appendix
2025-05-01,2025-04-01,https://www.opec.org/assets/assetdb/momr-appendix-may-2025.xlsx,https://www.opec.org/assets/assetdb/momr-may-2025.pdf,official,12,61,active,Official PDF and appendix
2025-04-01,2025-03-01,https://www.opec.org/assets/assetdb/momr-appendix-april-2025.xlsx,https://www.opec.org/assets/assetdb/momr-april-2025.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2025-03-01,2025-02-01,https://www.opec.org/assets/assetdb/momr-appendix-march-2025.xlsx,https://www.opec.org/assets/assetdb/momr-march-2025.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2025-02-01,2025-01-01,https://www.opec.org/assets/assetdb/momr-appendix-february-2025.xlsx,https://www.opec.org/assets/assetdb/momr-february-2025.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2025-01-01,2024-12-01,https://www.opec.org/assets/assetdb/momr-appendix-january-2025.xlsx,https://www.opec.org/assets/assetdb/momr-january-2025.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2024-12-01,2024-11-01,https://www.opec.org/assets/assetdb/momr-appendix-december-2024.xlsx,https://www.opec.org/assets/assetdb/momr-december-2024.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2024-11-01,2024-10-01,https://www.opec.org/assets/assetdb/momr-appendix-november-2024.xlsx,https://www.opec.org/assets/assetdb/momr-november-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-10-01,2024-09-01,https://www.opec.org/assets/assetdb/momr-appendix-october-2024.xlsx,https://www.opec.org/assets/assetdb/momr-october-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-09-01,2024-08-01,https://www.opec.org/assets/assetdb/momr-appendix-september-2024.xlsx,https://www.opec.org/assets/assetdb/momr-september-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-08-01,2024-07-01,https://www.opec.org/assets/assetdb/momr-appendix-august-2024.xlsx,https://www.opec.org/assets/assetdb/momr-august-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-07-01,2024-06-01,https://www.opec.org/assets/assetdb/momr-appendix-july-2024.xlsx,https://www.opec.org/assets/assetdb/momr-july-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-06-01,2024-05-01,https://www.opec.org/assets/assetdb/momr-appendix-june-2024.xlsx,https://www.opec.org/assets/assetdb/momr-june-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-05-01,2024-04-01,https://www.opec.org/assets/assetdb/momr-appendix-may-2024.xlsx,https://www.opec.org/assets/assetdb/momr-may-2024.pdf,official,NA,NA,active,Validated with the current production and price parsers.
2024-04-01,2024-03-01,https://www.opec.org/assets/assetdb/momr-appendix-april-2024.xlsx,https://www.opec.org/assets/assetdb/momr-april-2024.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2024-03-01,2024-02-01,https://www.opec.org/assets/assetdb/momr-appendix-march-2024.xlsx,https://www.opec.org/assets/assetdb/momr-march-2024.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2024-02-01,2024-01-01,https://www.opec.org/assets/assetdb/momr-appendix-february-2024.xlsx,https://www.opec.org/assets/assetdb/momr-february-2024.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2024-01-01,2023-12-01,https://www.opec.org/assets/assetdb/momr-appendix-january-2024.xlsx,https://www.opec.org/assets/assetdb/momr-january-2024.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-12-01,2023-11-01,https://www.opec.org/assets/assetdb/momr-appendix-december-2023.xlsx,https://www.opec.org/assets/assetdb/momr-december-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-11-01,2023-10-01,https://www.opec.org/assets/assetdb/momr-appendix-november-2023.xlsx,https://www.opec.org/assets/assetdb/momr-november-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-10-01,2023-09-01,https://www.opec.org/assets/assetdb/momr-appendix-october-2023.xlsx,https://www.opec.org/assets/assetdb/momr-october-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-09-01,2023-08-01,https://www.opec.org/assets/assetdb/momr-appendix-september-2023.xlsx,https://www.opec.org/assets/assetdb/momr-september-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-08-01,2023-07-01,https://www.opec.org/assets/assetdb/momr-appendix-august-2023.xlsx,https://www.opec.org/assets/assetdb/momr-august-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-07-01,2023-06-01,https://www.opec.org/assets/assetdb/momr-appendix-july-2023.xlsx,https://www.opec.org/assets/assetdb/momr-july-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-06-01,2023-05-01,https://www.opec.org/assets/assetdb/momr-appendix-june-2023.xlsx,https://www.opec.org/assets/assetdb/momr-june-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-05-01,2023-04-01,https://www.opec.org/assets/assetdb/momr-appendix-may-2023.xlsx,https://www.opec.org/assets/assetdb/momr-may-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-04-01,2023-03-01,https://www.opec.org/assets/assetdb/momr-appendix-april-2023.xlsx,https://www.opec.org/assets/assetdb/momr-april-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-03-01,2023-02-01,https://www.opec.org/assets/assetdb/momr-appendix-march-2023.xlsx,https://www.opec.org/assets/assetdb/momr-march-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-02-01,2023-01-01,https://www.opec.org/assets/assetdb/momr-appendix-february-2023.xlsx,https://www.opec.org/assets/assetdb/momr-february-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2023-01-01,2022-12-01,https://www.opec.org/assets/assetdb/momr-appendix-january-2023.xlsx,https://www.opec.org/assets/assetdb/momr-january-2023.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-12-01,2022-11-01,https://www.opec.org/assets/assetdb/momr-appendix-december-2022.xlsx,https://www.opec.org/assets/assetdb/momr-december-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-11-01,2022-10-01,https://www.opec.org/assets/assetdb/momr-appendix-november-2022.xlsx,https://www.opec.org/assets/assetdb/momr-november-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-10-01,2022-09-01,https://www.opec.org/assets/assetdb/momr-appendix-october-2022.xlsx,https://www.opec.org/assets/assetdb/momr-october-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-09-01,2022-08-01,https://www.opec.org/assets/assetdb/momr-appendix-september-2022.xlsx,https://www.opec.org/assets/assetdb/momr-september-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-08-01,2022-07-01,https://www.opec.org/assets/assetdb/momr-appendix-august-2022.xlsx,https://www.opec.org/assets/assetdb/momr-august-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-07-01,2022-06-01,https://www.opec.org/assets/assetdb/momr-appendix-july-2022.xlsx,https://www.opec.org/assets/assetdb/momr-july-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-06-01,2022-05-01,https://www.opec.org/assets/assetdb/momr-appendix-june-2022.xlsx,https://www.opec.org/assets/assetdb/momr-june-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-05-01,2022-04-01,https://www.opec.org/assets/assetdb/momr-appendix-may-2022.xlsx,https://www.opec.org/assets/assetdb/momr-may-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-04-01,2022-03-01,https://www.opec.org/assets/assetdb/momr-appendix-april-2022.xlsx,https://www.opec.org/assets/assetdb/momr-april-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-03-01,2022-02-01,https://www.opec.org/assets/assetdb/momr-appendix-march-2022.xlsx,https://www.opec.org/assets/assetdb/momr-march-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
2022-02-01,2022-01-01,https://www.opec.org/assets/assetdb/momr-appendix-february-2022.xlsx,https://www.opec.org/assets/assetdb/momr-february-2022.pdf,official_candidate,NA,NA,candidate,Generated from OPEC MOMR archive URL convention; verify parser compatibility before activation.
